,title,genre,budget,runtime,year,month,revenue
440,Phenomenon,Drama,32000000,123.0,1996,7,152036382
441,Maze Runner: The Scorch Trials,Action,61000000,132.0,2015,9,311256926
442,Silent Hill,Horror,50000000,125.0,2006,4,97607453
443,Babe,Fantasy,30000000,89.0,1995,7,254134910
444,Parker,Action,35000000,118.0,2013,1,46216641
445,George and the Dragon,Adventure,32000000,93.0,2004,3,0
446,Friends with Benefits,Romance,35000000,109.0,2011,7,150483765
447,Ghosts of Mars,Action,28000000,98.0,2001,8,14010832
448,Marley & Me,Comedy,60000000,115.0,2008,12,244082376
449,Eyes Wide Shut,,65000000,159.0,1999,7,162091208
450,Think Like a Man Too,Comedy,24000000,105.0,2014,6,70181428
451,The Grand Budapest Hotel,Comedy,30000000,99.0,2014,2,174600318
452,The Number 23,Thriller,30000000,101.0,2007,2,77566815
453,The Lone Ranger,Action,255000000,149.0,2013,7,89289910
454,Beowulf,Adventure,70000000,115.0,2007,11,195735876
455,Eastern Promises,Thriller,51500000,100.0,2007,9,55112356
456,Drag Me to Hell,Horror,30000000,99.0,2009,3,90810892
457,Victor Frankenstein,Drama,40000000,109.0,2015,11,34227298
458,The Mummy: Tomb of the Dragon Emperor,Adventure,145000000,112.0,2008,7,401128639
459,In Time,Action,40000000,109.0,2011,10,173930596
460,The Juror,Drama,44000000,118.0,1996,2,0
461,Chain Reaction,Action,50000000,107.0,1996,8,60209334
462,Love & Other Drugs,Drama,30000000,112.0,2010,11,102820008
463,Teenage Mutant Ninja Turtles: Out of the Shadows,Fantasy,135000000,112.0,2016,6,245623848
464,The Tooth Fairy,Horror,0,0.0,2006,8,0
465,Sunshine,Science Fiction,50000000,107.0,2007,4,32017803
466,One True Thing,Drama,0,127.0,1998,9,0
467,Casino Royale,Adventure,150000000,144.0,2006,11,599045960
468,Journey to the Center of the Earth,Action,45000000,93.0,2008,7,101702060
469,Ip Man 3,Action,36000000,105.0,2015,12,156844753
470,Tower Heist,Action,75000000,104.0,2011,11,152930623
471,Charlotte's Web,Comedy,85000000,97.0,2006,12,144000000
472,Suicide Squad,Action,175000000,123.0,2016,8,745000000
473,Kate & Leopold,Comedy,0,118.0,2001,12,0
474,Midnight in Paris,Fantasy,30000000,94.0,2011,5,151119219
475,Concussion,Drama,35000000,123.0,2015,11,50363790
476,Laws of Attraction,Action,28000000,90.0,2004,4,30016165
477,Midnight in the Garden of Good and Evil,Crime,35000000,155.0,1997,11,25105255
478,A Sound of Thunder,Thriller,80000000,110.0,2005,5,5989640
479,Kangaroo Jack,Comedy,0,89.0,2003,1,0
480,Grace of Monaco,Romance,30000000,103.0,2014,5,0
481,Hitch,Comedy,70000000,118.0,2005,2,368100420
482,Never Say Never Again,Adventure,36000000,134.0,1983,10,160000000
483,Sanctum,Action,30000000,108.0,2011,2,108609310
484,World Trade Center,Drama,63000000,128.0,2006,8,162945894
485,Riding in Cars with Boys,Comedy,48000000,132.0,2001,10,35743308
486,The Wolf of Wall Street,Crime,100000000,180.0,2013,12,392000694
487,The Next Best Thing,Comedy,25000000,108.0,2000,3,24362772
488,The Internship,Comedy,58000000,119.0,2013,6,44000000
489,Fight Club,Drama,63000000,139.0,1999,10,100853753
490,The Big Bounce,Comedy,50000000,88.0,2004,1,6808550
491,Intolerable Cruelty,Crime,60000000,100.0,2003,9,119940815
492,The Good Dinosaur,Adventure,175000000,93.0,2015,11,331926147
493,Without a Paddle,Action,19000000,95.0,2004,8,69631118
494,Fright Night,Horror,17000000,106.0,2011,8,24922237
495,RED 2,Action,84000000,116.0,2013,7,0
496,Behind Enemy Lines,Action,40000000,106.0,2001,11,91753202
497,The Five-Year Engagement,Comedy,30000000,124.0,2012,4,53909751
498,Divine Secrets of the Ya-Ya Sisterhood,Comedy,27000000,116.0,2002,6,0
499,Signs,Drama,72000000,106.0,2002,8,408247917
500,The Spirit,Action,60000000,103.0,2008,12,39031337
501,Troy,Adventure,175000000,163.0,2004,5,497409852
502,Kingdom of Heaven,Drama,130000000,144.0,2005,5,211643158
503,Back to the Future Part III,Adventure,40000000,118.0,1990,5,244527583
504,The Possession,Horror,14000000,92.0,2012,8,85446075
505,American Hustle,Drama,40000000,138.0,2013,12,251171807
506,Atonement,Drama,30000000,123.0,2007,8,129266061
507,The Happening,Thriller,60000000,91.0,2008,6,163403799
508,The Ant Bully,Fantasy,50000000,88.0,2006,7,55181129
509,Warm Bodies,Horror,35000000,97.0,2013,1,116980662
510,Big Fish,Adventure,70000000,125.0,2003,12,122919055
511,Hot Rod,Action,0,88.0,2007,8,14334401
512,Kick-Ass 2,Action,28000000,103.0,2013,7,60700000
513,Spirit: Stallion of the Cimarron,,80000000,83.0,2002,5,122563539
514,Fair Game,Drama,22000000,108.0,2010,5,24188922
515,Enough,Drama,38000000,114.0,2002,5,51801187
516,Knocked Up,Comedy,30000000,129.0,2007,6,219076518
517,The Longest Yard,Comedy,82000000,113.0,2005,5,190320568
518,Lucky Number Slevin,Drama,27000000,110.0,2006,2,56308881
519,Space Jam,Animation,80000000,88.0,1996,11,250200000
520,Inside Out,Drama,175000000,94.0,2015,6,857611174
521,Absolute Power,Crime,50000000,121.0,1997,2,50068310
522,Wreck-It Ralph,,165000000,108.0,2012,11,471222889
523,Dreamgirls,Drama,70000000,134.0,2006,12,154937680
524,The Social Network,Drama,40000000,120.0,2010,9,224920315
525,Inchon,Drama,46000000,140.0,1981,5,5200000
526,Vantage Point,Drama,40000000,90.0,2008,2,151161491
527,Conan the Barbarian,Adventure,20000000,129.0,1982,4,79114085
528,Corpse Bride,Romance,40000000,77.0,2005,9,117195061
529,Green Lantern,Adventure,200000000,114.0,2011,6,219851172
530,He Got Game,Drama,25000000,136.0,1998,5,21567853
531,Case 39,Horror,27000000,109.0,2009,8,29000000
532,Home on the Range,Animation,110000000,76.0,2004,4,103951461
533,The Greatest Game Ever Played,Drama,25000000,120.0,2005,9,15431177
534,Glory Road,Drama,0,118.0,2006,1,42647449
535,Stealing Harvard,Action,0,85.0,2002,9,0
536,Tin Cup,Comedy,45000000,135.0,1996,8,53854588
537,Beyond the Sea,Drama,23000000,118.0,2004,12,0
538,There Will Be Blood,Drama,25000000,158.0,2007,12,77208711
539,Training Day,Action,45000000,122.0,2001,10,104876233
540,Hide and Seek,Horror,25000000,101.0,2005,1,122644820
541,The Matrix Reloaded,Adventure,150000000,138.0,2003,5,738599701
542,Public Enemies,,80000000,140.0,2009,7,214104620
543,Impostor,Action,40000000,102.0,2001,12,0
544,Space Cowboys,Action,65000000,130.0,2000,7,128884132
545,Watchmen,Action,130000000,163.0,2009,3,185258983
546,The Whole Nine Yards,Comedy,41300000,98.0,2000,2,106371651
547,Anchorman 2: The Legend Continues,Comedy,50000000,119.0,2013,12,173649015
548,Gulliver's Travels,Comedy,112000000,85.0,2010,12,237382724
549,The Departed,Drama,90000000,151.0,2006,10,289847354
550,3:10 to Yuma,,55000000,122.0,2007,9,70016220
551,The Lucky One,Drama,25000000,101.0,2012,4,99357138
552,Nacho Libre,Comedy,32000000,92.0,2006,6,80197993
553,The Skeleton Key,Drama,43000000,104.0,2005,7,91974818
554,TRON: Legacy,Adventure,170000000,125.0,2010,12,400062763
555,Antitrust,Action,30000000,108.0,2001,1,18195610
556,My Soul to Take,Drama,25000000,107.0,2010,10,19829957
557,FearDotCom,Horror,40000000,101.0,2002,8,18902015
558,Safe Haven,Romance,28000000,115.0,2013,2,97594140
559,Captain America: The Winter Soldier,Action,170000000,136.0,2014,3,714766572
560,The Golden Compass,adventure,180000000,113.0,2007,12,372234864
561,Transcendence,Thriller,100000000,119.0,2014,4,103039258
562,The Rainmaker,Drama,40000000,135.0,1997,11,45916769
563,Nothing to Lose,Action,25000000,97.0,1997,7,0
564,The Deep End of the Ocean,Drama,38000000,106.0,1999,3,28121100
565,Driven,Action,94000000,116.0,2001,4,54744738
566,Julie & Julia,Romance,40000000,123.0,2009,8,129540499
567,Die Hard 2,Action,70000000,124.0,1990,7,240031094
568,Wicker Park,Drama,30000000,114.0,2004,9,13001257
569,The Guilt Trip,Comedy,40000000,95.0,2012,12,41863726
570,The Dilemma,Comedy,70000000,111.0,2011,1,67112664
571,Turbo,Animation,135000000,96.0,2013,7,282570682
572,George of the Jungle,Adventure,55000000,92.0,1997,7,0
573,Mystic River,Thriller,25000000,138.0,2003,10,156822020
574,Gamer,Action,50000000,95.0,2009,9,40828540
575,A Man Apart,Action,36000000,109.0,2003,4,44350926
576,How the Grinch Stole Christmas,,123000000,104.0,2000,11,345141403
577,The Lost World: Jurassic Park,Adventure,73000000,129.0,1997,5,229074524
578,Open Season,Adventure,85000000,83.0,2006,9,197309027
579,All the King's Men,Drama,55000000,125.0,2006,9,9450897
580,Spice World,Adventure,25000000,93.0,1997,12,100000000
581,Big Trouble in Little China,Action,25000000,99.0,1986,5,11000000
582,Swordfish,Action,102000000,99.0,2001,6,147080413
583,Patriot Games,Drama,45000000,117.0,1992,6,178051587
584,Robots,Animation,75000000,91.0,2005,3,260696994
585,Click,Comedy,82500000,107.0,2006,6,237681299
586,Fantastic Mr. Fox,Adventure,40000000,87.0,2009,10,46471023
587,What Dreams May Come,Drama,85000000,113.0,1998,10,71485043
588,The Holiday,Comedy,85000000,136.0,2006,12,194168700
589,Miracle at St. Anna,Drama,45000000,160.0,2008,9,9323833
590,For Love of the Game,Drama,50000000,137.0,1999,9,0
591,Finding Neverland,Drama,25000000,106.0,2004,10,116766556
592,Ri¢hie Ri¢h,Comedy,40000000,95.0,1994,12,0
593,Assault on Precinct 13,Thriller,30000000,109.0,2005,1,35294470
594,Wild Wild West,Action,170000000,106.0,1999,6,222104681
595,The Golden Compass,adventure,180000000,113.0,2007,12,372234864
596,Rambo III,Action,63000000,102.0,1988,5,189015611
597,Toy Story,Animation,30000000,81.0,1995,10,373554033
598,Unfinished Business,Comedy,35000000,91.0,2015,3,14431253
599,The Kid,Fantasy,65000000,104.0,2000,7,69700000
600,The Spy Next Door,Action,28000000,94.0,2010,1,45236543
601,Frozen,Animation,150000000,102.0,2013,11,1274219009
602,The Truman Show,Comedy,60000000,103.0,1998,6,264118201
603,The Statement,Drama,0,120.0,2003,12,0
604,Blade II,Fantasy,54000000,117.0,2002,3,155010032
605,Rain Man,Drama,25000000,133.0,1988,12,412800000
606,Grown Ups 2,Comedy,80000000,100.0,2013,7,246984278
607,Stop-Loss,Drama,25000000,113.0,2008,3,11207130
608,The Hunger Games: Mockingjay - Part 2,Action,160000000,137.0,2015,11,653428261
609,Return of the Jedi,Adventure,32350000,135.0,1983,5,572700000
610,Cast Away,Adventure,90000000,143.0,2000,12,429632142
611,Crimson Tide,Action,53000000,116.0,1995,5,157387195
612,Abandon,Drama,25000000,99.0,2002,10,10719357
613,Gran Torino,Drama,33000000,116.0,2008,12,269958228
614,Braveheart,Action,72000000,177.0,1995,5,210000000
615,Blue Crush,Adventure,25000000,104.0,2002,8,51842679
616,The New World,Drama,30000000,135.0,2005,12,30536013
617,The Devil's Advocate,Drama,57000000,144.0,1997,10,152944660
618,From Hell,Horror,35000000,122.0,2001,10,74558115
619,Apocalypto,Action,40000000,139.0,2006,12,120175290
620,Harry Potter and the Order of the Phoenix,Adventure,150000000,138.0,2007,6,938212738
621,Indiana Jones and the Last Crusade,Adventure,48000000,127.0,1989,5,474171806
622,The Terminal,Comedy,60000000,128.0,2004,6,219417255
623,No Reservations,Comedy,28000000,104.0,2007,7,92601050
624,Scary Movie 4,Comedy,45000000,83.0,2006,4,178262620
625,Shakespeare in Love,Romance,25000000,122.0,1998,12,289317794
626,The Lovely Bones,Fantasy,65000000,136.0,2009,12,93525586
627,Johnny English Reborn,Crime,45000000,101.0,2011,9,160078586
628,Ghosts of Mississippi,,0,130.0,1996,12,0
629,The Haunting,Horror,80000000,113.0,1999,7,91188905
630,Star Wars: Episode I - The Phantom Menace,Adventure,115000000,136.0,1999,5,924317558
631,Christmas with the Kranks,Comedy,60000000,99.0,2004,11,0
632,Austin Powers in Goldmember,Comedy,63000000,94.0,2002,7,296655431
633,Tangled,Animation,260000000,100.0,2010,11,591794936
634,The Chronicles of Narnia: Prince Caspian,adventure,225000000,150.0,2008,5,419651413
635,What a Girl Wants,Comedy,0,105.0,2003,3,0
636,The Counselor,Thriller,25000000,117.0,2013,10,71009334
637,The Secret Life of Pets,Animation,75000000,87.0,2016,6,875958308
638,The Hobbit: The Desolation of Smaug,adventure,250000000,161.0,2013,12,958400000
639,The Hours,Drama,25000000,114.0,2002,12,41597830
640,Zombieland,Comedy,23600000,88.0,2009,10,102391382
641,21,Drama,35000000,123.0,2008,3,69823199
642,Chicken Little,Animation,150000000,81.0,2005,11,314432665
643,The 51st State,Thriller,28,93.0,2001,12,14
644,Ladder 49,Drama,60000000,115.0,2004,10,74541707
645,What Just Happened,Comedy,25000000,104.0,2008,10,6673422
646,Nomad: The Warrior,Action,25000000,112.0,2005,7,0
647,3000 Miles to Graceland,Action,62000000,125.0,2001,2,18720175
648,Déjà Vu,Romance,0,117.0,1998,4,0
649,Snow Dogs,Adventure,33000000,99.0,2002,1,0
650,The Insider,Drama,90000000,157.0,1999,10,60289912
651,Guess Who,Comedy,35000000,105.0,2005,3,68915888
652,The Ghost and the Darkness,Adventure,50000000,109.0,1996,10,75000000
653,The Hitchhiker's Guide to the Galaxy,Adventure,50000000,109.0,2005,1,104478416
654,Takers,Action,32000000,107.0,2010,8,69055695
655,Spawn,Action,40000000,96.0,1997,7,87840042
656,Harry Potter and the Philosopher's Stone,Adventure,125000000,152.0,2001,11,976475550
657,The Jacket,Drama,29000000,103.0,2005,3,21126225
658,Identity Thief,Comedy,35000000,111.0,2013,2,173965010
659,Starship Troopers,Adventure,105000000,129.0,1997,11,121214377
660,The Smurfs 2,Fantasy,105000000,105.0,2013,7,347434178
661,Angela's Ashes,Drama,25,145.0,1999,12,13
662,Harry Potter and the Prisoner of Azkaban,Adventure,130000000,141.0,2004,5,789804554
663,Notting Hill,Romance,42000000,124.0,1999,5,363889678
664,Escape from Planet Earth,Animation,40000000,89.0,2013,2,74597643
665,Joy Ride,,23000000,97.0,2001,10,36642838
666,Out of Time,Thriller,50000000,105.0,2003,10,55495563
667,Little Nicholas,Comedy,0,91.0,2009,9,0
668,The Incredible Burt Wonderstone,Comedy,30000000,100.0,2013,3,27437881
669,The Bone Collector,Drama,73000000,118.0,1999,11,151493655
670,Side Effects,Thriller,30000000,106.0,2013,2,63372757
671,Casper,Fantasy,50000000,100.0,1995,5,287928194
672,Gods and Generals,Drama,56000000,214.0,2003,2,12923936
673,The Boss,Comedy,29000000,91.0,2016,4,78636257
674,Stuart Little,Animation,133000000,84.0,1999,12,300135367
675,The Legend of Hercules,Action,70000000,99.0,2014,1,61279452
676,Good Luck Chuck,Comedy,25000000,101.0,2007,9,59192128
677,Old School,Comedy,24000000,91.0,2003,2,87055349
678,TMNT,Adventure,34000000,90.0,2007,3,95608995
679,Money Talks,Action,0,97.0,1997,8,0
680,The Love Guru,Comedy,62000000,87.0,2008,6,41819064
681,X-Men: The Last Stand,Adventure,210000000,104.0,2006,5,459359555
682,I Am Number Four,Action,50000000,109.0,2011,2,144492830
683,Annie,Comedy,65000000,119.0,2014,12,133821816
684,Indiana Jones and the Kingdom of the Crystal Skull,Adventure,185000000,122.0,2008,5,786636033
685,Mirror Mirror,Adventure,85000000,106.0,2012,3,183018522
686,Untraceable,Drama,35000000,101.0,2008,1,32483410
687,The Blues Brothers,,27000000,133.0,1980,6,115229890
688,Quest for Camelot,Fantasy,40000000,86.0,1998,5,38172500
689,Inception,Action,160000000,148.0,2010,7,825532764
690,"O Brother, Where Art Thou?",Action,26000000,106.0,2000,8,71868327
691,Hot Pursuit,Action,35000000,87.0,2015,5,51680201
692,47 Ronin,Drama,175000000,119.0,2013,12,150962475
693,The Conspirator,Crime,25000000,122.0,2010,9,15478800
694,A Knight's Tale,Adventure,65000000,132.0,2001,5,117487473
695,The Man from U.N.C.L.E.,Comedy,75000000,116.0,2015,8,108145109
696,The Pelican Brief,Drama,45000000,141.0,1993,12,195268056
697,Glory,,18000000,122.0,1989,12,26828365
698,Mr. Bean's Holiday,,25000000,90.0,2007,3,229736344
699,The Expendables 3,Action,90000000,127.0,2014,8,206172544
700,Batman Forever,Action,100000000,121.0,1995,5,336529144
701,Rugrats Go Wild,Animation,0,84.0,2003,6,0
702,A Bridge Too Far,Drama,22000000,175.0,1977,6,50750000
703,Congo,Action,50000000,109.0,1995,6,152022101
704,Over the Hedge,Comedy,80000000,83.0,2006,4,343397247
705,The Bourne Legacy,Action,130000000,120.0,2012,8,276572938
706,Dreamer: Inspired By a True Story,Drama,0,106.0,2005,9,0
707,The Host,Action,44000000,125.0,2013,3,63327201
708,Eddie the Eagle,Comedy,23000000,106.0,2016,2,46152800
709,Garfield: A Tail of Two Kitties,Animation,0,78.0,2006,6,141702264
710,Scooby-Doo,,84000000,88.0,2002,6,275650703
711,"Crazy, Stupid, Love.",Comedy,50000000,118.0,2011,7,142851197
712,Just Visiting,Comedy,0,88.0,2001,4,0
713,P.S. I Love You,Drama,30000000,126.0,2007,11,156835339
714,The Sisterhood of the Traveling Pants,Drama,25000000,119.0,2005,6,39053061
715,Puss in Boots,Action,130000000,90.0,2011,10,554987477
716,The Story of Us,Comedy,50000000,95.0,1999,10,58900031
717,The Expendables 2,Action,100000000,103.0,2012,8,312573423
718,Underclassman,Action,0,95.0,2005,9,0
719,The Angry Birds Movie,,73000000,97.0,2016,5,349779543
720,Broken City,Thriller,56000000,109.0,2013,1,19701164
721,Snakes on a Plane,Action,33000000,105.0,2006,8,62022014
722,Shooter,Action,61000000,124.0,2007,3,95696996
723,Beverly Hills Cop III,Action,50000000,104.0,1994,5,119208989
724,First Blood,Action,15000000,93.0,1982,10,125212904
725,Coach Carter,Drama,30000000,136.0,2005,1,76669806
726,Timecop,Thriller,27000000,99.0,1994,9,101646581
727,Machine Gun Preacher,Action,30000000,129.0,2011,9,2527904
728,Tora! Tora! Tora!,,25485000,144.0,1970,1,29548291
729,Love in the Time of Cholera,Drama,45000000,139.0,2007,10,4607608
730,G-Force,Fantasy,150000000,88.0,2009,7,292817841
731,"Mystery, Alaska",Drama,28000000,119.0,1999,10,8888143
732,Reign of Fire,Adventure,60000000,101.0,2002,7,43061982
733,Ender's Game,Science Fiction,110000000,114.0,2013,10,125537191
734,Renaissance Man,Comedy,40000000,128.0,1994,6,24332324
735,42,Drama,40000000,128.0,2013,4,95020213
736,Bangkok Dangerous,Action,45000000,99.0,2008,8,42487390
737,Seed of Chucky,Drama,12000000,87.0,2004,11,24829644
738,Air Force One,Action,85000000,124.0,1997,7,315156409
739,X-Men: Days of Future Past,Action,250000000,131.0,2014,5,747862775
740,Step Brothers,Comedy,65000000,98.0,2008,7,128107642
741,The Peanuts Movie,Animation,99000000,88.0,2015,11,246233113
742,Marmaduke,,50000000,87.0,2010,6,83761844
743,Zoolander 2,Comedy,50000000,100.0,2016,2,55969000
744,Did You Hear About the Morgans?,Comedy,58000000,103.0,2009,12,85280250
745,American Outlaws,Action,35000000,94.0,2001,8,13678913
746,Straight Outta Compton,Drama,28000000,147.0,2015,8,201634991
747,For Your Eyes Only,Adventure,28000000,127.0,1981,6,195312802
748,Splice,Horror,26000000,104.0,2009,10,0
749,Almost Famous,Drama,60000000,122.0,2000,9,47383689
750,Righteous Kill,Action,60000000,101.0,2008,9,73174566
751,Gone in Sixty Seconds,Action,90000000,118.0,2000,6,237202299
752,The Aviator,Drama,116000000,170.0,2004,12,102000000
753,Blended,Comedy,40000000,117.0,2014,5,123494610
754,Apocalypse Now,Drama,31500000,153.0,1979,8,89460381
755,The Replacement Killers,Action,30000000,87.0,1998,2,19204929
756,The Lego Movie,Adventure,60000000,100.0,2014,2,469160692
757,Rat Race,Adventure,48000000,112.0,2001,7,85498534
758,Flubber,Comedy,80000000,93.0,1997,11,177977226
759,Brokedown Palace,Drama,25000000,100.0,1999,8,13000000
760,The Mask of Zorro,Action,95000000,136.0,1998,7,250288523
761,Premium Rush,Crime,35000000,91.0,2012,8,31083599
762,Pirates of the Caribbean: Dead Man's Chest,adventure,200000000,151.0,2006,6,1065659812
763,Play It to the Bone,Comedy,24000000,124.0,1999,12,8434146
764,The Express,Drama,40000000,130.0,2008,10,9793496
765,Twilight,Adventure,37000000,122.0,2008,11,392616625
766,The Scorpion King,Action,60000000,92.0,2002,4,165333180
767,Alex Cross,Action,45000000,101.0,2012,10,30353232
768,Walk the Line,Drama,28000000,136.0,2005,9,186438883
769,Rendition,Drama,27500000,120.0,2007,9,24748670
770,The Blind Side,Drama,29000000,129.0,2009,11,309208309
771,Heaven's Gate,Action,44000000,219.0,1980,11,3484331
772,Whiteout,Action,40000000,101.0,2009,9,12206028
773,DOA: Dead or Alive,Adventure,21000000,87.0,2006,9,480314
774,Star Trek Beyond,Action,185000000,122.0,2016,7,343471816
775,Earth,Drama,0,101.0,1998,9,528972
776,I Still Know What You Did Last Summer,Horror,65000000,100.0,1998,11,40002112
777,Gettysburg,,0,254.0,1993,10,25000000
778,Quantum of Solace,adventure,200000000,106.0,2008,10,586090727
779,Paul Blart: Mall Cop,Action,26000000,91.0,2009,1,183293131
780,The Break-Up,Romance,52000000,106.0,2006,6,204999686
781,The Twilight Saga: New Moon,Adventure,50000000,130.0,2009,3,709827462
782,Contact,Drama,90000000,150.0,1997,7,171120329
783,John Carter,Action,260000000,132.0,2012,3,284139100
784,Raising Helen,Drama,50000000,119.0,2004,5,49718611
785,Waterloo,,25000000,128.0,1970,10,3052000
786,Ripley's Game,Crime,30000000,110.0,2002,9,0
787,Exodus: Gods and Kings,Adventure,140000000,150.0,2014,12,268031828
788,Mary Reilly,Drama,47000000,104.0,1996,2,12379402
789,Die Hard,Action,28000000,131.0,1988,7,140767956
790,Universal Soldier: The Return,Action,45000000,82.0,1999,8,10667893
791,The Last Airbender,Action,150000000,103.0,2010,6,318502923
792,Deck the Halls,Comedy,0,93.0,2006,11,47231070
793,Shadow Conspiracy,Action,45000000,103.0,1997,1,2154540
794,Edge of Darkness,Crime,80000000,117.0,2010,1,74901339
795,Four Christmases,Comedy,80000000,88.0,2008,11,163733697
796,Timeline,Action,80000000,116.0,2003,11,19480739
797,Enchanted,Comedy,85000000,107.0,2007,11,340487652
798,Spectre,Action,245000000,148.0,2015,10,880674609
799,Failure to Launch,Comedy,50000000,97.0,2006,3,88715192
800,Two Weeks Notice,Romance,60000000,101.0,2002,12,93354918
801,Source Code,Thriller,32000000,93.0,2011,3,147332697
802,Dante's Peak,Action,116000000,108.0,1997,2,178127760
803,13 Hours: The Secret Soldiers of Benghazi,Action,50000000,144.0,2016,1,69411370
804,Superman Returns,adventure,270000000,154.0,2006,6,391081192
805,The Rite,Drama,37000000,114.0,2011,1,96047633
806,Now You See Me 2,Action,90000000,129.0,2016,6,334901337
807,Monsters vs Aliens,Animation,175000000,94.0,2009,3,381509870
808,Lolita,Drama,2000000,153.0,1962,6,9250000
809,Star Trek: First Contact,Science Fiction,46000000,111.0,1996,11,150000000
810,Captain Corelli's Mandolin,Drama,57000000,131.0,2001,8,62112895
811,The Duchess,Drama,0,110.0,2008,9,0
812,Meet the Parents,Comedy,55000000,108.0,2000,10,330444045
813,Meet Dave,Comedy,60000000,90.0,2008,7,50650079
814,Money Train,Action,60000000,103.0,1995,11,35431113
815,Don Juan DeMarco,Romance,25000000,97.0,1994,10,22200000
816,Pirates of the Caribbean: On Stranger Tides,adventure,380000000,136.0,2011,5,1045713802
817,Double Take,Adventure,0,88.0,2001,1,0
818,A Lot Like Love,Comedy,30000000,107.0,2005,4,42886719
819,The Lord of the Rings: The Fellowship of the Ring,Adventure,93000000,178.0,2001,12,871368364
820,Faster,Crime,24000000,98.0,2010,11,23081726
821,Tropic Thunder,Action,92000000,107.0,2008,8,188072649
822,Bless the Child,Drama,40000000,107.0,2000,8,0
823,The Life Aquatic with Steve Zissou,Adventure,50000000,119.0,2004,12,34808403
824,Austin Powers: The Spy Who Shagged Me,Adventure,33000000,95.0,1999,6,310940086
825,House of Wax,Horror,40000000,113.0,2005,4,68766121
826,Battleship,Thriller,209000000,131.0,2012,4,303025485
827,Grown Ups,Comedy,80000000,102.0,2010,6,271430189
828,Dr. Dolittle 2,Comedy,70000000,87.0,2001,6,176104344
829,The Brothers Grimm,Adventure,88000000,118.0,2005,8,105316267
830,Vacation,Comedy,31000000,99.0,2015,7,104384188
831,Quantum of Solace,adventure,200000000,106.0,2008,10,586090727
832,Nutty Professor II: The Klumps,Fantasy,84000000,106.0,2000,7,123307945
833,Wrath of the Titans,Adventure,150000000,99.0,2012,3,301000000
834,Bad Company,Action,70000000,116.0,2002,6,65977295
835,Our Brand Is Crisis,Comedy,28000000,108.0,2015,9,7002261
836,World War Z,Action,200000000,116.0,2013,6,531865000
837,The Hunted,Drama,55000000,94.0,2003,3,34234008
838,Rise of the Guardians,Fantasy,145000000,97.0,2012,11,306941670
839,Ironclad,Romance,25000000,121.0,2011,3,0
840,Thor,Adventure,150000000,115.0,2011,4,449326618
841,Ted,Comedy,50000000,106.0,2012,6,549368315
842,The Rock,Action,75000000,136.0,1996,6,335062621
843,G.I. Joe: Retaliation,Adventure,130000000,110.0,2013,3,371876278
844,"I, Frankenstein",Horror,65000000,92.0,2014,1,71154592
845,Apollo 13,Drama,52000000,140.0,1995,6,355237933
846,A History of Violence,Drama,32000000,96.0,2005,9,60740827
847,Charlie and the Chocolate Factory,Adventure,150000000,115.0,2005,7,474968763
848,Cop Out,Action,30000000,107.0,2010,2,55583804
849,Half Past Dead,Crime,13000000,98.0,2002,11,0
850,The Other Guys,Action,100000000,107.0,2010,8,170432927
851,Real Steel,Action,110000000,127.0,2011,9,299268508
852,Muppets Most Wanted,Comedy,50000000,112.0,2014,3,80383290
853,Warcraft,Action,160000000,123.0,2016,5,433677183
854,Dragon Wars: D-War,Fantasy,70000000,90.0,2007,2,53587404
855,Mortal Kombat: Annihilation,Action,30000000,95.0,1997,11,51376861
856,Semi-Pro,Comedy,0,91.0,2008,2,33472850
857,Die Another Day,Adventure,140000000,133.0,2002,11,431971116
858,Doctor Dolittle,Comedy,71000000,85.0,1998,6,294456605
859,Kick-Ass,Action,28000000,117.0,2010,3,96188903
860,Million Dollar Baby,Drama,30000000,132.0,2004,12,216763646
861,Garfield,Animation,50000000,80.0,2004,6,200804534
862,Starsky & Hutch,Comedy,60000000,101.0,2004,3,170268750
863,Law Abiding Citizen,Drama,53000000,109.0,2009,10,126690726
864,Biutiful,Drama,0,148.0,2010,10,25147786
865,The SpongeBob SquarePants Movie,Animation,30000000,87.0,2004,11,140161792
866,Jupiter Ascending,Science Fiction,176000003,124.0,2015,2,183987723
867,Moulin Rouge!,Drama,52500000,127.0,2001,3,179213434
868,Prisoners,Drama,46000000,153.0,2013,9,122126687
869,The Assassination of Jesse James by the Coward Robert Ford,Action,30000000,160.0,2007,9,14711793
870,Race to Witch Mountain,Adventure,50000000,98.0,2009,3,106303988
871,Ready to Rumble,Action,24000000,107.0,2000,4,12372410
872,Mars Attacks!,Comedy,70000000,106.0,1996,12,101371017
873,Face/Off,Action,80000000,138.0,1997,6,245676146
874,Meet the Spartans,Comedy,30000000,84.0,2008,1,84646831
875,Safe House,Action,85000000,115.0,2012,2,208076205
876,The Abyss,Adventure,70000000,139.0,1989,8,90000098
877,The Jungle Book,,175000000,106.0,2016,4,966550600
878,Ocean's Eleven,Thriller,85000000,116.0,2001,12,450717150
879,Transporter 2,Action,32000000,87.0,2005,8,85167639
880,Batman,Fantasy,35000000,126.0,1989,6,411348924
881,Death Race,Action,45000000,105.0,2008,8,73762516
882,Stolen,Action,35000000,96.0,2012,5,2106557
883,K-PAX,Drama,48000000,120.0,2001,10,50315140
884,Like Mike,Comedy,30000000,99.0,2002,7,0
